,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2011,37.88,37.94,63.26,35.11,39.03,34.9,37.57,29.22,34.77,27.05,28.1,27.68,24.69,22.89,27.02,19.35,29.38,29.7,35.08,46.12,49.82,23.88,27.61
2012,38.99,38.73,66,35.88,40.02,35.78,38.78,30.19,35.59,27.52,28.68,28.27,25.17,23.32,27.81,20.34,30.42,30.27,36.11,46.91,51.53,25.09,28.04
2013,40.08,39.64,69.24,36.41,41.11,36.11,40.16,30.71,36.33,27.85,29.11,28.86,25.53,23.45,28.19,20.92,31.45,31.18,36.91,47.95,52.93,25.32,28.02
2014,41.17,40.75,72.21,36.9,42.21,36.51,41.38,31.02,37.07,28.46,29.44,29.96,26.13,23.73,28.84,21.51,32.27,32.02,37.49,49.14,54.75,26.52,30.25
2015,42.22,41.72,74.48,37.78,43.14,36.99,42.45,31.73,38.06,29.15,29.88,30.73,27.08,24.3,29.65,22.25,33.24,32.98,38.58,50.55,56.55,27.68,31.18
2016,43.3,42.85,75.46,38.87,44.33,37.8,43.51,33.26,39.38,30.49,30.67,32.24,27.88,25.26,30.69,23.65,34.64,35.01,40.24,51.51,57.23,28.55,31.06
2017,44.43,43.95,76.49,39.98,45.43,38.91,44.61,34.55,40.6,31.74,31.98,33.53,29.19,26.58,31.91,24.94,35.91,36.23,41.44,52.68,58.31,29.36,33.62
2018,45.53,45.09,76.54,41.39,46.48,40.2,45.53,36.06,42.56,33.3,33.59,35.14,30.65,27.94,33.02,26.55,37.47,37.59,42.56,54.15,58.99,29.64,34.38
2019,46.59,46.37,74.86,43.7,47.78,41.93,46.19,37.43,45.18,36.29,35.71,35.91,32,29.61,33.53,28.55,39.14,37.36,43.22,55.52,58,30.96,37.21
2020,47.56,47.87,77.08,45.45,49.71,41.52,46.51,35,45.33,39.97,36.12,35.44,32.62,29.76,32.11,29.41,40.66,35.73,43.25,58.03,57.68,31.87,44.07
