,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2011,13.38,9.69,9.53,14.1,15,14.46,15.09,14.06,16.16,16.36,15.49,16.41,15.74,16.42,16.71,15.86,16.71,12.77,10.03,15.29,15.1,21.99,13.27
2012,13.49,9.6,9.64,14.63,15.45,14.79,14.85,14.94,15.54,16.95,15.77,17.19,14.67,17.47,16.03,15.51,15.37,13.03,11.1,15.48,16.18,19.94,13.21
2013,13.54,9.72,9.87,14.12,15.49,14.16,15.1,14.38,16.89,18.29,15.43,17.4,16.46,16.15,16.06,17.21,15.15,13.86,11.68,13.93,15.53,20.23,13.76
2014,14.01,10.12,10.2,14.07,16.18,15.45,15.85,14.96,17.52,17.02,15.91,17.51,16.93,16.74,17.15,17.86,16.22,15.27,11.41,14.71,15.86,20.08,14.16
2015,14.19,10.13,10.2,14.77,16.4,15.36,15.97,16.45,16.91,17.88,16.44,18.13,16.76,15.27,17.12,16.1,16.94,16.31,11.33,15.1,16.19,21.57,15.25
2016,14.44,10.44,10.49,15.03,17.06,15.39,15.38,17.52,16.37,17.47,16.97,17.35,19.03,15.91,17.21,18.5,17.4,15.5,10.87,15.6,18.36,23.12,14.81
2017,14.67,10.48,10.31,15.31,16.76,16.02,16.1,18.1,17.07,18.62,16.39,19.73,17.45,17,18.13,17.67,18.9,17.17,12.36,15.63,18.33,19.41,16.18
2018,14.83,10.78,10.06,16.26,16.95,16.38,16.14,17.15,18.35,18.97,17.53,18.26,17.35,16.08,18.07,17.82,18.41,17.25,12.02,16.23,18.41,20.38,16.16
2019,14.93,10.62,10.37,16.27,16.86,16.71,16.37,16.68,17.78,19.22,17.79,18.99,18,17.14,16.94,18.34,18.24,18.47,11.54,15.56,18.98,21.53,16.64
2020,15.38,11.31,10.54,15.3,17.04,17.89,16.49,17.09,19.38,20.1,18.74,20.92,17.39,18.72,18.37,21.64,17.24,18.97,12.93,16.2,19.02,22.23,21.73
