year,city ,ntd
2011,臺灣地區,"925,287"
2011,新北市,"935,168"
2011,臺北市,"1,283,016"
2011,桃園市,"1,043,966"
2011,臺中市,"911,325"
2011,臺南市,"795,970"
2011,高雄市,"873,949"
2011,宜蘭縣,"757,937"
2011,新竹縣,"1,182,169"
2011,苗栗縣,"836,244"
2011,彰化縣,"728,535"
2011,南投縣,"782,085"
2011,雲林縣,"635,151"
2011,嘉義縣,"637,143"
2011,屏東縣,"715,490"
2011,臺東縣,"560,697"
2011,花蓮縣,"717,897"
2011,澎湖縣,"641,958"
2011,基隆市,"890,771"
2011,新竹市,"1,309,090"
2011,嘉義市,"773,307"
2011,金門縣,"737,547"
2011,連江縣,"887,309"
2012,臺灣地區,"926,488"
2012,新北市,"931,124"
2012,臺北市,"1,266,246"
2012,桃園市,"1,047,542"
2012,臺中市,"898,272"
2012,臺南市,"784,490"
2012,高雄市,"886,148"
2012,宜蘭縣,"881,325"
2012,新竹縣,"1,171,976"
2012,苗栗縣,"814,895"
2012,彰化縣,"758,591"
2012,南投縣,"803,720"
2012,雲林縣,"626,903"
2012,嘉義縣,"704,894"
2012,屏東縣,"706,989"
2012,臺東縣,"591,181"
2012,花蓮縣,"732,483"
2012,澎湖縣,"652,440"
2012,基隆市,"829,687"
2012,新竹市,"1,241,683"
2012,嘉義市,"870,722"
2012,金門縣,"713,693"
2012,連江縣,"768,400"
2013,臺灣地區,"945,985"
2013,新北市,"949,046"
2013,臺北市,"1,268,018"
2013,桃園市,"1,062,114"
2013,臺中市,"979,836"
2013,臺南市,"820,810"
2013,高雄市,"901,951"
2013,宜蘭縣,"833,681"
2013,新竹縣,"1,131,656"
2013,苗栗縣,"802,373"
2013,彰化縣,"724,511"
2013,南投縣,"731,816"
2013,雲林縣,"656,442"
2013,嘉義縣,"747,545"
2013,屏東縣,"684,676"
2013,臺東縣,"601,166"
2013,花蓮縣,"730,759"
2013,澎湖縣,"667,038"
2013,基隆市,"880,207"
2013,新竹市,"1,355,563"
2013,嘉義市,"1,003,287"
2013,金門縣,"770,727"
2013,連江縣,"817,642"
2014,臺灣地區,"956,246"
2014,新北市,"960,271"
2014,臺北市,"1,297,477"
2014,桃園市,"1,060,476"
2014,臺中市,"983,209"
2014,臺南市,"836,829"
2014,高雄市,"916,933"
2014,宜蘭縣,"907,028"
2014,新竹縣,"1,181,434"
2014,苗栗縣,"836,317"
2014,彰化縣,"751,577"
2014,南投縣,"698,397"
2014,雲林縣,"653,538"
2014,嘉義縣,"689,122"
2014,屏東縣,"681,122"
2014,臺東縣,"617,046"
2014,花蓮縣,"692,524"
2014,澎湖縣,"704,959"
2014,基隆市,"845,769"
2014,新竹市,"1,367,376"
2014,嘉義市,"925,899"
2014,金門縣,"724,527"
2014,連江縣,"751,750"
2015,臺灣地區,"956,246"
2015,新北市,"960,271"
2015,臺北市,"1,297,477"
2015,桃園市,"1,060,476"
2015,臺中市,"983,209"
2015,臺南市,"836,829"
2015,高雄市,"916,933"
2015,宜蘭縣,"907,028"
2015,新竹縣,"1,181,434"
2015,苗栗縣,"836,317"
2015,彰化縣,"751,577"
2015,南投縣,"698,397"
2015,雲林縣,"653,538"
2015,嘉義縣,"689,122"
2015,屏東縣,"681,122"
2015,臺東縣,"617,046"
2015,花蓮縣,"692,524"
2015,澎湖縣,"704,959"
2015,基隆市,"845,769"
2015,新竹市,"1,367,376"
2015,嘉義市,"925,899"
2015,金門縣,"724,527"
2015,連江縣,"751,750"
