,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2011,"1,157,895","1,178,833","1,645,287","1,219,162","1,149,637","978,957","1,091,973","902,770","1,454,435","1,058,061","952,286","923,225","856,239","829,596","903,440","775,472","945,987","863,777","1,063,450","1,556,284","964,888","1,127,319","1,351,519"
2012,"1,176,877","1,157,952","1,683,958","1,277,263","1,115,529","959,415","1,137,939","1,106,961","1,460,798","1,053,452","987,073","1,027,639","861,185","907,711","927,097","832,130","951,580","911,077","1,001,882","1,518,434","1,135,691","1,113,949","1,170,980"
2013,"1,195,566","1,190,092","1,659,231","1,294,615","1,181,664","1,029,390","1,161,274","1,007,390","1,433,724","1,067,169","967,262","934,758","865,395","889,742","889,706","827,134","990,689","952,500","1,054,673","1,601,978","1,281,613","1,230,289","1,314,897"
2014,"1,213,703","1,211,399","1,684,110","1,365,949","1,205,058","1,029,059","1,170,138","1,103,790","1,476,722","1,144,918","970,387","958,141","887,400","816,463","863,173","857,616","884,098","961,641","1,005,690","1,648,800","1,188,458","1,112,093","1,204,306"
2015,"1,224,600","1,238,890","1,697,894","1,348,342","1,222,101","1,044,744","1,205,656","1,191,976","1,368,591","1,057,339","956,278","906,851","898,993","917,685","894,694","783,443","948,555","824,067","1,118,555","1,494,234","1,139,853","1,177,894","1,254,761"
2016,"1,253,389","1,294,607","1,688,289","1,357,694","1,193,624","1,102,273","1,227,028","1,116,452","1,434,465","1,209,731","1,027,431","945,572","924,616","923,242","936,298","837,500","975,118","1,100,866","1,129,727","1,614,037","1,190,535","1,106,004","1,197,435"
2017,"1,292,578","1,337,740","1,767,413","1,379,145","1,308,936","1,121,261","1,247,558","1,136,844","1,695,790","1,077,074","1,005,634","925,718","895,872","928,904","991,882","939,478","941,572","887,195","1,160,231","1,627,397","1,129,010","1,221,366","1,177,613"
2018,"1,310,447","1,363,375","1,767,002","1,422,187","1,342,041","1,132,138","1,281,434","1,103,242","1,612,832","1,093,145","1,031,418","1,000,758","887,607","965,959","1,014,083","932,648","968,293","987,943","1,123,408","1,490,453","1,194,828","1,222,520","1,258,116"
2019,"1,335,845","1,387,812","1,839,410","1,434,755","1,357,725","1,120,897","1,291,257","1,129,513","1,638,924","1,118,245","1,063,532","977,337","962,508","875,083","991,795","924,646","989,679","1,058,980","1,200,698","1,697,637","1,253,212","1,182,626","1,245,476"
2020,"1,356,343","1,426,111","1,831,867","1,462,219","1,354,544","1,132,515","1,289,257","1,175,248","1,713,251","1,204,202","1,032,543","1,036,424","1,017,294","927,266","1,089,496","946,168","1,059,113","1,115,176","1,155,653","1,733,435","1,261,225","1,181,909","1,365,188"
