year,city,ntd
2011,臺灣地區,"907,988"
2011,新北市,"927,075"
2011,臺北市,"1,251,519"
2011,桃園市,"961,998"
2011,臺中市,"915,341"
2011,臺南市,"783,223"
2011,高雄市,"856,346"
2011,宜蘭縣,"721,410"
2011,新竹縣,"1,097,918"
2011,苗栗縣,"833,967"
2011,彰化縣,"772,072"
2011,南投縣,"729,037"
2011,雲林縣,"674,055"
2011,嘉義縣,"687,869"
2011,屏東縣,"710,173"
2011,臺東縣,"607,872"
2011,花蓮縣,"757,041"
2011,澎湖縣,"673,081"
2011,基隆市,"845,677"
2011,新竹市,"1,152,707"
2011,嘉義市,"768,315"
2011,金門縣,"876,028"
2011,連江縣,"1,067,042"
2012,臺灣地區,"923,584"
2012,新北市,"911,915"
2012,臺北市,"1,278,278"
2012,桃園市,"1,007,045"
2012,臺中市,"886,682"
2012,臺南市,"770,078"
2012,高雄市,"894,107"
2012,宜蘭縣,"892,727"
2012,新竹縣,"1,093,853"
2012,苗栗縣,"826,530"
2012,彰化縣,"792,362"
2012,南投縣,"831,790"
2012,雲林縣,"684,977"
2012,嘉義縣,"747,956"
2012,屏東縣,"736,174"
2012,臺東縣,"670,017"
2012,花蓮縣,"761,611"
2012,澎湖縣,"727,056"
2012,基隆市,"786,441"
2012,新竹市,"1,132,620"
2012,嘉義市,"910,601"
2012,金門縣,"891,697"
2012,連江縣,"928,816"
2013,臺灣地區,"942,208"
2013,新北市,"931,239"
2013,臺北市,"1,279,195"
2013,桃園市,"1,027,658"
2013,臺中市,"928,938"
2013,臺南市,"830,467"
2013,高雄市,"915,255"
2013,宜蘭縣,"813,875"
2013,新竹縣,"1,073,893"
2013,苗栗縣,"839,394"
2013,彰化縣,"789,742"
2013,南投縣,"748,930"
2013,雲林縣,"704,313"
2013,嘉義縣,"727,426"
2013,屏東縣,"722,101"
2013,臺東縣,"676,390"
2013,花蓮縣,"790,373"
2013,澎湖縣,"769,955"
2013,基隆市,"841,832"
2013,新竹市,"1,224,310"
2013,嘉義市,"1,026,305"
2013,金門縣,"991,400"
