,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2011,0.78,0.79,0.75,0.71,0.88,0.79,0.74,0.75,0.71,0.58,0.83,0.84,0.89,0.85,0.92,0.72,0.75,0.56,0.85,0.74,0.88,0.56,0.72
2012,0.74,0.78,0.71,0.68,0.84,0.77,0.67,0.8,0.68,0.64,0.8,0.71,0.8,0.7,0.83,0.76,0.63,0.66,0.8,0.53,0.74,0.52,0.89
2013,0.7,0.74,0.66,0.69,0.82,0.72,0.59,0.68,0.71,0.6,0.82,0.72,0.62,0.77,0.74,0.6,0.63,0.45,0.63,0.59,0.81,0.58,0.79
2014,0.67,0.74,0.62,0.61,0.79,0.63,0.61,0.55,0.57,0.51,0.87,0.61,0.69,0.65,0.69,0.53,0.43,0.58,0.62,0.61,0.65,0.43,0.74
2015,0.61,0.65,0.56,0.58,0.7,0.61,0.55,0.68,0.6,0.59,0.74,0.65,0.6,0.67,0.6,0.5,0.48,0.41,0.71,0.53,0.66,0.5,0.8
2016,0.58,0.62,0.51,0.64,0.63,0.49,0.52,0.5,0.56,0.55,0.71,0.53,0.59,0.66,0.6,0.45,0.44,0.49,0.72,0.58,0.63,0.46,0.65
2017,0.54,0.56,0.53,0.6,0.61,0.45,0.45,0.49,0.53,0.5,0.79,0.49,0.48,0.45,0.58,0.41,0.36,0.42,0.7,0.52,0.6,0.4,0.52
2018,0.49,0.49,0.47,0.52,0.55,0.45,0.4,0.42,0.4,0.41,0.68,0.51,0.46,0.57,0.51,0.34,0.36,0.4,0.59,0.43,0.6,0.5,0.57
2019,0.48,0.52,0.41,0.52,0.5,0.42,0.44,0.35,0.53,0.53,0.69,0.48,0.42,0.37,0.51,0.33,0.37,0.3,0.66,0.47,0.41,0.6,0.38
2020,0.44,0.44,0.39,0.45,0.49,0.38,0.44,0.38,0.4,0.48,0.69,0.48,0.4,0.34,0.44,0.24,0.35,0.32,0.58,0.44,0.45,0.43,0.46
