year,city,ntd
2011,臺灣地區,"729,010"
2011,新北市,"745,901"
2011,臺北市,"996,646"
2011,桃園市,"822,232"
2011,臺中市,"726,320"
2011,臺南市,"630,810"
2011,高雄市,"686,354"
2011,宜蘭縣,"602,332"
2011,新竹縣,"907,729"
2011,苗栗縣,"656,067"
2011,彰化縣,"579,670"
2011,南投縣,"629,379"
2011,雲林縣,"491,428"
2011,嘉義縣,"520,344"
2011,屏東縣,"558,868"
2011,臺東縣,"435,401"
2011,花蓮縣,"554,335"
2011,澎湖縣,"486,598"
2011,基隆市,"718,329"
2011,新竹市,"982,122"
2011,嘉義市,"616,177"
2011,金門縣,"550,263"
2011,連江縣,"648,213"
2012,臺灣地區,"727,693"
2012,新北市,"741,651"
2012,臺北市,"973,747"
2012,桃園市,"815,889"
2012,臺中市,"717,894"
2012,臺南市,"627,337"
2012,高雄市,"694,285"
2012,宜蘭縣,"698,346"
2012,新竹縣,"898,118"
2012,苗栗縣,"629,119"
2012,彰化縣,"597,253"
2012,南投縣,"648,629"
2012,雲林縣,"487,669"
2012,嘉義縣,"572,225"
2012,屏東縣,"553,602"
2012,臺東縣,"464,577"
2012,花蓮縣,"566,694"
2012,澎湖縣,"492,419"
2012,基隆市,"660,931"
2012,新竹市,"935,237"
2012,嘉義市,"686,120"
2012,金門縣,"542,328"
2012,連江縣,"568,563"
2013,臺灣地區,"747,922"
2013,新北市,"750,687"
2013,臺北市,"1,001,798"
2013,桃園市,"832,626"
2013,臺中市,"781,899"
2013,臺南市,"654,843"
2013,高雄市,"709,823"
2013,宜蘭縣,"668,544"
2013,新竹縣,"858,781"
2013,苗栗縣,"621,582"
2013,彰化縣,"577,658"
2013,南投縣,"584,190"
2013,雲林縣,"522,661"
2013,嘉義縣,"616,718"
2013,屏東縣,"545,713"
2013,臺東縣,"478,531"
2013,花蓮縣,"554,525"
2013,澎湖縣,"514,077"
2013,基隆市,"719,698"
2013,新竹市,"1,044,462"
2013,嘉義市,"788,432"
2013,金門縣,"599,588"
2013,連江縣,"599,256"
2014,臺灣地區,"747,922"
2014,新北市,"750,687"
2014,臺北市,"1,001,798"
2014,桃園市,"832,626"
2014,臺中市,"781,899"
2014,臺南市,"654,843"
2014,高雄市,"709,823"
2014,宜蘭縣,"668,544"
2014,新竹縣,"858,781"
2014,苗栗縣,"621,582"
2014,彰化縣,"577,658"
2014,南投縣,"584,190"
2014,雲林縣,"522,661"
2014,嘉義縣,"616,718"
2014,屏東縣,"545,713"
2014,臺東縣,"478,531"
2014,花蓮縣,"554,525"
2014,澎湖縣,"514,077"
2014,基隆市,"719,698"
2014,新竹市,"1,044,462"
2014,嘉義市,"788,432"
2014,金門縣,"599,588"
2014,連江縣,"599,256"
2015,臺灣地區,"747,922"
2015,新北市,"750,687"
2015,臺北市,"1,001,798"
2015,桃園市,"832,626"
2015,臺中市,"781,899"
2015,臺南市,"654,843"
2015,高雄市,"709,823"
2015,宜蘭縣,"668,544"
2015,新竹縣,"858,781"
2015,苗栗縣,"621,582"
2015,彰化縣,"577,658"
2015,南投縣,"584,190"
2015,雲林縣,"522,661"
2015,嘉義縣,"616,718"
2015,屏東縣,"545,713"
2015,臺東縣,"478,531"
2015,花蓮縣,"554,525"
2015,澎湖縣,"514,077"
2015,基隆市,"719,698"
2015,新竹市,"1,044,462"
2015,嘉義市,"788,432"
2015,金門縣,"599,588"
2015,連江縣,"599,256"
2016,臺灣地區,"747,922"
2016,新北市,"750,687"
2016,臺北市,"1,001,798"
2016,桃園市,"832,626"
2016,臺中市,"781,899"
2016,臺南市,"654,843"
2016,高雄市,"709,823"
2016,宜蘭縣,"668,544"
2016,新竹縣,"858,781"
2016,苗栗縣,"621,582"
2016,彰化縣,"577,658"
2016,南投縣,"584,190"
2016,雲林縣,"522,661"
2016,嘉義縣,"616,718"
2016,屏東縣,"545,713"
2016,臺東縣,"478,531"
2016,花蓮縣,"554,525"
2016,澎湖縣,"514,077"
2016,基隆市,"719,698"
2016,新竹市,"1,044,462"
2016,嘉義市,"788,432"
2016,金門縣,"599,588"
2016,連江縣,"599,256"
2017,臺灣地區,"747,922"
2017,新北市,"750,687"
2017,臺北市,"1,001,798"
2017,桃園市,"832,626"
2017,臺中市,"781,899"
2017,臺南市,"654,843"
